# Субдомены
ID,Название,Адрес,Цена,Дата регистрации,Ссылки,ID зоны,Владелец,Статус,Время аукциона,Последняя ставка,Последний участник,Ставки,Collection Address,Создан,Обновлен
28,mint.function.ton,UQB00KlV90M5f-GiHls6HGh36GWEoIhPuTU2UhFd1SrUANJM,0.5,2026-01-03 14:28:07,[],16,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,UQB00KlV90M5f-GiHls6HGh36GWEoIhPuTU2UhFd1SrUANJM,"[{""bidder"":""UQB00KlV90M5f-GiHls6HGh36GWEoIhPuTU2UhFd1SrUANJM"",""amount"":500000000,""timestamp"":""2026-01-03T14:28:07.049Z""}]",EQDcLkkku93NXZskfRSaP6HfVDZg-1UjWhwa0dYYjwXuZ4t5,2026-01-03 14:28:07,2026-01-03 14:28:07
31,7.function.ton,UQAGzYQqNBk3PSN087aTiTTT_7ZVD0FVE_6tSQRaJvO8eE-P,0.5,2026-01-11 10:59:48,[],16,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,UQAGzYQqNBk3PSN087aTiTTT_7ZVD0FVE_6tSQRaJvO8eE-P,"[{""bidder"":""UQAGzYQqNBk3PSN087aTiTTT_7ZVD0FVE_6tSQRaJvO8eE-P"",""amount"":500000000,""timestamp"":""2026-01-11T10:59:48.099Z""}]",EQDcLkkku93NXZskfRSaP6HfVDZg-1UjWhwa0dYYjwXuZ4t5,2026-01-11 10:59:48,2026-01-11 10:59:48
32,3.function.ton,UQCdyAa7RgTqaDWhRwey740xFdBM1cJizhn1fFHsjkTmO05V,0.5,2026-01-11 11:01:57,[],16,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,UQCdyAa7RgTqaDWhRwey740xFdBM1cJizhn1fFHsjkTmO05V,"[{""bidder"":""UQCdyAa7RgTqaDWhRwey740xFdBM1cJizhn1fFHsjkTmO05V"",""amount"":500000000,""timestamp"":""2026-01-11T11:01:57.711Z""}]",EQDcLkkku93NXZskfRSaP6HfVDZg-1UjWhwa0dYYjwXuZ4t5,2026-01-11 11:01:57,2026-01-11 11:01:57
35,mini.function.ton,UQAv8ALt9BqejNkhsgqx43RNTwxJsKTU4GILQPMDRZTOvRj8,0.5,2026-01-13 17:50:59,[],16,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,UQAv8ALt9BqejNkhsgqx43RNTwxJsKTU4GILQPMDRZTOvRj8,"[{""bidder"":""UQAv8ALt9BqejNkhsgqx43RNTwxJsKTU4GILQPMDRZTOvRj8"",""amount"":500000000,""timestamp"":""2026-01-13T17:50:59.919Z""}]",EQDcLkkku93NXZskfRSaP6HfVDZg-1UjWhwa0dYYjwXuZ4t5,2026-01-13 17:50:59,2026-01-13 17:50:59
36,send.function.ton,UQD6W_5iN686nWjx3mjsnbQ_6t3Ao59tF3OGgkdvm3pAx_BP,0.5,2026-01-15 07:10:45,[],16,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,UQD6W_5iN686nWjx3mjsnbQ_6t3Ao59tF3OGgkdvm3pAx_BP,"[{""bidder"":""UQD6W_5iN686nWjx3mjsnbQ_6t3Ao59tF3OGgkdvm3pAx_BP"",""amount"":500000000,""timestamp"":""2026-01-15T07:10:45.355Z""}]",EQDcLkkku93NXZskfRSaP6HfVDZg-1UjWhwa0dYYjwXuZ4t5,2026-01-15 07:10:45,2026-01-15 07:10:45
38,dragonbronz.dragonbronz .ton,UQAiOyqduxetZX2O8tRl941c3oR7H_PY0CDiGjh3yQAcrA-k,0.5,2026-01-15 07:31:28,[],24,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,Активен,,500000000,UQAiOyqduxetZX2O8tRl941c3oR7H_PY0CDiGjh3yQAcrA-k,"[{""bidder"":""UQAiOyqduxetZX2O8tRl941c3oR7H_PY0CDiGjh3yQAcrA-k"",""amount"":500000000,""timestamp"":""2026-01-15T07:31:28.977Z""}]",EQDeWNAKOhtlZpfezRZYh05r_MGw3M5r-qcBVW_alDNXjgjr,2026-01-15 07:31:28,2026-01-15 07:31:28
40,log.console.ton,UQCkUEqKH2403qkrqNxfVkoPWoZJNpqRIYji46HoQr-E162X,0.5,2026-01-15 10:58:01,[],25,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,UQCkUEqKH2403qkrqNxfVkoPWoZJNpqRIYji46HoQr-E162X,"[{""bidder"":""UQCkUEqKH2403qkrqNxfVkoPWoZJNpqRIYji46HoQr-E162X"",""amount"":500000000,""timestamp"":""2026-01-15T10:58:01.761Z""}]",EQBoPqApVyZs2jshpPYea7R_gzyXdgoMcJS50Mm0UQjZubDK,2026-01-15 10:58:01,2026-01-15 10:58:01
41,ohohtestdnemino4y.amitestimsubdom.ton,UQBFR-uBUyeuHtT5oYpIi_q2cMCHdKkfJEkDSD3rHT5WbxEO,0.5,2026-01-15 12:08:22,[],27,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,Активен,,500000000,UQBFR-uBUyeuHtT5oYpIi_q2cMCHdKkfJEkDSD3rHT5WbxEO,"[{""bidder"":""UQBFR-uBUyeuHtT5oYpIi_q2cMCHdKkfJEkDSD3rHT5WbxEO"",""amount"":500000000,""timestamp"":""2026-01-15T12:08:22.457Z""}]",EQCksRt1NmqeB4RLO-0plA9CU-mtj9mpQgmnkm_s0e7fVg38,2026-01-15 12:08:22,2026-01-15 12:08:22
47,error.console.ton,UQBrqOHWsTmTgi2dQCihV767sCFZ5ZW82Ets2B7uXntT9ods,0.5,2026-01-16 08:43:26,[],25,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,"[{""bidder"":""0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w"",""amount"":500000000,""timestamp"":""2026-01-16T08:43:26.481Z""}]",EQBoPqApVyZs2jshpPYea7R_gzyXdgoMcJS50Mm0UQjZubDK,2026-01-16 08:43:26,2026-01-16 08:43:26
49,nft.sender.ton,UQDQcsZ2b0IV8NkGzzA5o34sPtMdRIMYJGnNkGJcvj4NLp9K,0.5,2026-01-16 15:15:15,[],28,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активен,,500000000,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,"[{""bidder"":""0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w"",""amount"":500000000,""timestamp"":""2026-01-16T15:15:15.168Z""}]",EQBIwzf2efCkb9gIxfBi4o1j9r7qoXCyQ5udiMv03QuU7xoH,2026-01-16 15:15:15,2026-01-16 15:15:15
