# Детальная информация о зонах (testnet)
ID,Название,Адрес,Collection Address,Тип,Статус,Владелец,Создана,Кол-во субдоменов,Субдомены
16,function.ton,UQDx6pLDzaNnK5fv9fn9Q9ByCxDLLl97qJjtLjiciRQXcMWR,EQDcLkkku93NXZskfRSaP6HfVDZg-1UjWhwa0dYYjwXuZ4t5,SBT,Активна,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,2026-01-03 14:17:29,7,"3.function.ton, 7.function.ton, craft.function.ton, gen.function.ton, mini.function.ton, mint.function.ton, send.function.ton"
24,dragonbronz .ton,UQB6OavLFP9eP8vL1cv0EUuaSqR18mxakOobXmGik4hC2tWB,EQDeWNAKOhtlZpfezRZYh05r_MGw3M5r-qcBVW_alDNXjgjr,SBT,Активна,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,2026-01-15 05:33:12,1,"dragonbronz.dragonbronz .ton"
25,console.ton,UQDqiW-O4BFr6znxhOQxuEwXOFFU6NHtL2BaR77DU5-CqlmC,EQBoPqApVyZs2jshpPYea7R_gzyXdgoMcJS50Mm0UQjZubDK,SBT,Активна,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,2026-01-15 08:12:44,3,"error.console.ton, log.console.ton, status.console.ton"
27,amitestimsubdom.ton,UQB5awRCYlnkFFNOcEU4_C9VRrNjCjr-MSQNMILsHcuYm2Iy,EQCksRt1NmqeB4RLO-0plA9CU-mtj9mpQgmnkm_s0e7fVg38,SBT,Активна,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,2026-01-15 12:06:38,1,"ohohtestdnemino4y.amitestimsubdom.ton"
28,sender.ton,UQBjFAe_AQh3Zmyr3xJ6tvIIQdETaoRmvCLeLOhcRu0pkOgD,EQBIwzf2efCkb9gIxfBi4o1j9r7qoXCyQ5udiMv03QuU7xoH,SBT,Активна,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,2026-01-16 15:13:23,2,"nft.sender.ton, usdt.sender.ton"
29,etnecosystem.ton,UQCHmnwAPXnEI4L-k6dgotDTuDDqvX77vAsWa5YmOLnyrJaY,EQAoCS82wEZaByq75ESVKB1_t3l5dLVFzqN0UtBLftDJN7yz,SBT,Активна,0QAFdwqiHZuqeM26CmAIviJDoeRjGdk-FhDM96rW9QFK-Yan,2026-01-16 16:59:04,0,""
35,1313.ton,UQDU7e0leG9QgmTxOCUOzOxS6tHrl6s6cNb73zuympIUAx2y,EQAg4zMntwWuLFDONWStEbLoysv6k23SSdyeuvEfE0qxFVSD,SBT,Активна,0QBEin2eaVTyEgyhFRV7QwLMHrcicMwyf7kdOfcCGR9CpLPa,2026-01-17 11:20:50,2,"1313.1313.ton, seva.1313.ton"
37,profit.ton,UQAYsGx5f0Idn452ha3KL3MNEK1iHURTJThIo-OJ_76NmshT,kQAlloaMhelAzy4VTCqC3vjT6oXRJ74azn2q1HCCoQdMl5x5,Proxy,Активна,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,2026-01-20 19:15:57,6,"1111.profit.ton, casino.profit.ton, maximal.profit.ton, swap.profit.ton, telegram.profit.ton, testing.profit.ton"
39,3333331125541.ton,UQBaQ3aIoMHiRRKlvlepOa3UFEMai-3K7ohy9Ei2UGs2F0bZ,EQB70U-NfpGQgJHGKIwbmbrPh_KoresRgYJW8ju-Vr32rK6B,Proxy,Активна,0QC-3ilVr-W0Uc3pLrGJElwSaFxvhXXfkiQA3EwdVBHNNQ1j,2026-01-21 13:40:09,1,"blood.3333331125541.ton"
40,dataset.ton,kQAjFsd7kc-Inem3L-87UZhxr8IcfHiau1Vm0R75ohPynKtF,kQAvD5cof4HaCG-9tbGA2ZgzQU8HBiPp3k8Onux0UX13zt8l,Proxy,Активна,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,2026-01-22 03:04:03,2,"ai.dataset.ton, telemetry.dataset.ton"
41,conspirator.ton,UQAwXiMX6dPeCf1_KigHPkLN-1AmKRp8cDl4jNVzlgA8DelI,EQBOstS42VT98djsa6SStqJ2-EtNyow8tCiY3g7MArQTyhRi,SBT,Активна,0QDVCyacpRdCX4nmbTxYEGUvxZwa_uE63FXZc90nqvcoI01Z,2026-01-23 16:33:24,1,"true.conspirator.ton"
42,exchanger.ton,UQC2a6I9Ao2Pyd_LcEUvHlNb-M7WrBpEXQ7DJo6MwCfcTgfL,EQC_Qs-axjDXtjUy2JzLhdaDkLJsx-d0D6ds7aiNZd-zshwQ,Proxy,Активна,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,2026-01-23 19:10:54,3,"nft.exchanger.ton, silver.exchanger.ton, usdt.exchanger.ton"
43,mixer.ton,kQDAIcc9LIfaX4MW8LOfEZR3XKI3kpcM1hCX7mSOg1yb3Lrc,kQCCkxlXhpkylyUK11l40dyJCy_u5igSchvj53Lo0DbUng3P,Proxy,Активна,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,2026-01-24 10:22:49,6,"blood.mixer.ton, craft.mixer.ton, crypto.mixer.ton, kyhoonaaaaaaaaaaay.mixer.ton, tonnel.mixer.ton, tunnel.mixer.ton"
44,currency.ton,UQAn25XGkwE6MTj45yD_a3wuy5l4fKz7UqF5ZkoTRN7gyuFA,EQCmiHGjTSaW0B4ashVMdM62rfF9NmP3ERXO0psBfS63n3Bi,Proxy,Активна,0QD_xCETA7e2GpRzEtgZXg9huG8PeBQKYVabdotIlxviVNrV,2026-01-24 13:14:08,2,"btc.currency.ton, staking.currency.ton"
45,nokamoto.ton,UQCoxag0s10Ybk3s_-I9NVacVsFDpjPzbV7irzmIm3_zYrH8,EQBzAlzDbc50MyUbAlkKJdIgc9M2GPhHt2TdNILlKGHpApQF,SBT,Активна,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,2026-02-04 19:13:24,0,""

