# Чаты
ID,Домен,Адрес пользователя,Статус,Создан,Обновлен
1,localhost,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,active,2025-12-08 14:35:59,2025-12-08 14:35:59
2,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,active,2026-01-04 09:35:30,2026-01-10 09:35:30
3,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,0QAsu53ojAOmRIqkJjtSMPryquMw-hx1Mp8hqdInDLe1qE1R,active,2026-01-05 14:53:21,2026-01-05 14:53:21
4,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,active,2026-01-10 15:55:33,2026-01-10 15:56:43
5,UQCCdJQGrYpwaOZUXn3tnX7QYMFnG3GUpNn2PqkZVyBtNVLS,0QDmXhDxjd_pgFv3JLc8GtVW-VyxmhDt6xodj2i4x_Cv2Gvv,active,2026-01-11 04:34:18,2026-01-11 05:09:32
6,0QD_xCETA7e2GpRzEtgZXg9huG8PeBQKYVabdotIlxviVNrV,0QD_xCETA7e2GpRzEtgZXg9huG8PeBQKYVabdotIlxviVNrV,active,2026-01-11 12:38:38,2026-01-11 12:38:38
7,0QBYiTsEjInTdAcTHZ6B9lJNNE4NANfpIDOoVviE3P70C4BV,0QBYiTsEjInTdAcTHZ6B9lJNNE4NANfpIDOoVviE3P70C4BV,active,2026-01-15 11:54:47,2026-01-15 11:54:47
8,0QBEin2eaVTyEgyhFRV7QwLMHrcicMwyf7kdOfcCGR9CpLPa,0QBEin2eaVTyEgyhFRV7QwLMHrcicMwyf7kdOfcCGR9CpLPa,active,2026-01-16 18:53:31,2026-01-16 18:56:35
9,0QC-3ilVr-W0Uc3pLrGJElwSaFxvhXXfkiQA3EwdVBHNNQ1j,0QC-3ilVr-W0Uc3pLrGJElwSaFxvhXXfkiQA3EwdVBHNNQ1j,active,2026-01-21 12:59:07,2026-01-21 12:59:07
10,0QDVCyacpRdCX4nmbTxYEGUvxZwa_uE63FXZc90nqvcoI01Z,0QDVCyacpRdCX4nmbTxYEGUvxZwa_uE63FXZc90nqvcoI01Z,active,2026-01-23 05:52:14,2026-01-23 05:52:14
11,0QBay08MLWJmp-ATio0h1NDblQqGjviqWICad4e_Bc9s0hJb,0QBay08MLWJmp-ATio0h1NDblQqGjviqWICad4e_Bc9s0hJb,active,2026-01-24 15:56:41,2026-01-24 15:56:41

