# Финансовый отчет по пользователям (testnet)
Адрес,Proxy зон,SBT зон,Proxy субдоменов,SBT субдоменов,Траты на зоны,Траты на субдомены,Траты на Proxy зоны,Траты на SBT зоны,Траты на Proxy субдомены,Траты на SBT субдомены,Прибыль
0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,1,2,2,2,262.50,7.00,250.00,12.50,6.00,1.00,35.25
0QD_xCETA7e2GpRzEtgZXg9huG8PeBQKYVabdotIlxviVNrV,1,0,2,0,242.50,3.00,230.00,12.50,3.00,0.00,33.73
0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,3,4,11,12,222.50,56.07,220.00,2.50,50.07,6.00,33.13
0QC-3ilVr-W0Uc3pLrGJElwSaFxvhXXfkiQA3EwdVBHNNQ1j,1,0,0,0,262.50,0.00,250.00,12.50,0.00,0.00,28.50
0QBEin2eaVTyEgyhFRV7QwLMHrcicMwyf7kdOfcCGR9CpLPa,0,1,3,2,262.50,7.59,250.00,12.50,6.59,1.00,26.25
0QDCcBoknzHnE0GXLTsIrTLT4gg9yQBysWsEgNc_tsmGp9y-,0,0,0,0,262.50,0.00,250.00,12.50,0.00,0.00,26.25
0QBYiTsEjInTdAcTHZ6B9lJNNE4NANfpIDOoVviE3P70C4BV,0,0,0,0,262.50,0.00,250.00,12.50,0.00,0.00,26.25
0QDVCyacpRdCX4nmbTxYEGUvxZwa_uE63FXZc90nqvcoI01Z,0,1,0,1,262.50,0.50,250.00,12.50,0.00,0.50,26.25
0QBay08MLWJmp-ATio0h1NDblQqGjviqWICad4e_Bc9s0hJb,0,0,2,0,198.50,5.00,190.00,8.50,5.00,0.00,19.85
UQAJhQfbNtmaWpYogVoo59slpxw8YLv3HluxOOPPHHhUnDl1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QAfY-ZxtLJ3GySgCC56YTKE9b8UHbiFWcM_iLMig74H4kEO,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QALVvEkTZcRSy-Ud1taY9wF6SzhhKUo77hg0QifSH46cNzW,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QC9AevlAcsQk6uzXcWNMhmKZng5HEfXFMrRFr7T_EXQ1EL8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UQCe_kKLgAsZiwgFUe-2c_bVprWHqsEJoLIJraSDn0CiMaZ4,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UQCCdJQGrYpwaOZUXn3tnX7QYMFnG3GUpNn2PqkZVyBtNVLS,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QDYrxfHPuGs94P_6gXNco-8hAumgS9TyYAPxyJ6YnXNIjB3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QD-tB_rdezUCre04eiSQq43FDCgWPpfscJXtNmRrr3vAcq_,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QDXke_wyJe5VCGI59VPACPKzdw-ZhkqEqwlBBxbkwU7K3nA,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QAFdwqiHZuqeM26CmAIviJDoeRjGdk-FhDM96rW9QFK-Yan,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0QDRdwmx10Yzg5HaCvDjvHdV6Xy0ivYnE8T6Qmj_BA-Bp_mm,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00

