# Финансовая статистика (testnet)
Показатель,Значение
Всего пользователей,20
Пользователей с true в proxy,9
Пользователей с true в sbt,9
Всего true в proxy (сумма по уровням),49
Всего true в sbt (сумма по уровням),47
Оплаченных Proxy попыток,49
Оплаченных SBT попыток,47
Всего оплаченных попыток,96
Всего зон,15
Активных зон,15
Неактивных зон,0
🌐 Proxy зон,6
🔒 SBT зон,9
Всего субдоменов,37
Субдоменов с collectionAddress,37
Всего чатов,11
Всего сообщений,37
Общие траты на зоны,2238.50 TON
Общие траты на субдомены,79.16 TON
Общая прибыль,255.46 TON
Пользователей с прибылью,9
Пользователей с тратами,9

