# Зоны
ID,Название,Адрес,Collection Address,Wrapper Address,Тип,Дата регистрации,Кол-во субдоменов,Владелец,Статус,Цена зоны,Создана,Обновлена
16,function.ton,UQDx6pLDzaNnK5fv9fn9Q9ByCxDLLl97qJjtLjiciRQXcMWR,EQDcLkkku93NXZskfRSaP6HfVDZg-1UjWhwa0dYYjwXuZ4t5,,SBT,2026-01-03 14:17:29,7,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активна,,2026-01-03 14:17:29,2026-01-03 14:17:29
24,dragonbronz .ton,UQB6OavLFP9eP8vL1cv0EUuaSqR18mxakOobXmGik4hC2tWB,EQDeWNAKOhtlZpfezRZYh05r_MGw3M5r-qcBVW_alDNXjgjr,,SBT,2026-01-15 05:33:12,1,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,Активна,,2026-01-15 05:33:12,2026-01-15 05:33:12
25,console.ton,UQDqiW-O4BFr6znxhOQxuEwXOFFU6NHtL2BaR77DU5-CqlmC,EQBoPqApVyZs2jshpPYea7R_gzyXdgoMcJS50Mm0UQjZubDK,,SBT,2026-01-15 08:12:44,3,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активна,,2026-01-15 08:12:44,2026-01-15 08:12:44
27,amitestimsubdom.ton,UQB5awRCYlnkFFNOcEU4_C9VRrNjCjr-MSQNMILsHcuYm2Iy,EQCksRt1NmqeB4RLO-0plA9CU-mtj9mpQgmnkm_s0e7fVg38,,SBT,2026-01-15 12:06:38,1,0QD12MIx5kY2YphBDZ8aZJ10scX76de6yU2FZpfQRT8xQoRs,Активна,,2026-01-15 12:06:38,2026-01-15 12:06:38
28,sender.ton,UQBjFAe_AQh3Zmyr3xJ6tvIIQdETaoRmvCLeLOhcRu0pkOgD,EQBIwzf2efCkb9gIxfBi4o1j9r7qoXCyQ5udiMv03QuU7xoH,,SBT,2026-01-16 15:13:23,2,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активна,,2026-01-16 15:13:23,2026-01-16 15:13:23
29,etnecosystem.ton,UQCHmnwAPXnEI4L-k6dgotDTuDDqvX77vAsWa5YmOLnyrJaY,EQAoCS82wEZaByq75ESVKB1_t3l5dLVFzqN0UtBLftDJN7yz,,SBT,2026-01-16 16:59:04,,0QAFdwqiHZuqeM26CmAIviJDoeRjGdk-FhDM96rW9QFK-Yan,Активна,,2026-01-16 16:59:04,2026-01-16 16:59:04
35,1313.ton,UQDU7e0leG9QgmTxOCUOzOxS6tHrl6s6cNb73zuympIUAx2y,EQAg4zMntwWuLFDONWStEbLoysv6k23SSdyeuvEfE0qxFVSD,,SBT,2026-01-17 11:20:50,2,0QBEin2eaVTyEgyhFRV7QwLMHrcicMwyf7kdOfcCGR9CpLPa,Активна,,2026-01-17 11:20:50,2026-01-17 11:20:50
37,profit.ton,UQAYsGx5f0Idn452ha3KL3MNEK1iHURTJThIo-OJ_76NmshT,kQAlloaMhelAzy4VTCqC3vjT6oXRJ74azn2q1HCCoQdMl5x5,kQC28XEZdc_Lg_gWVmK8f7lnvGyTSFcxNplgLcIB-3bBgo1l,Proxy,2026-01-20 19:15:57,6,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активна,,2026-01-20 19:15:57,2026-01-24 07:51:49
39,3333331125541.ton,UQBaQ3aIoMHiRRKlvlepOa3UFEMai-3K7ohy9Ei2UGs2F0bZ,EQB70U-NfpGQgJHGKIwbmbrPh_KoresRgYJW8ju-Vr32rK6B,kQC3aaD2VmQEPSnWvLPE8gfyelZKiQrzbaI6OM-PiMZpmfR7,Proxy,2026-01-21 13:40:09,1,0QC-3ilVr-W0Uc3pLrGJElwSaFxvhXXfkiQA3EwdVBHNNQ1j,Активна,,2026-01-21 13:40:09,2026-01-24 07:51:22
40,dataset.ton,kQAjFsd7kc-Inem3L-87UZhxr8IcfHiau1Vm0R75ohPynKtF,kQAvD5cof4HaCG-9tbGA2ZgzQU8HBiPp3k8Onux0UX13zt8l,kQCkj9t2S8KHb8COXbSnGJ2D7nsuzumwLI_Gs2MlwPQ0S6l0,Proxy,2026-01-22 03:04:03,2,0QA29QkUF1-wLUQCu5VYadM5qPfFGdTpzrC7CPSJZ7EtWP4w,Активна,,2026-01-22 03:04:03,2026-01-24 07:49:28
