domain,clean_domain
"2424.ton","2424"
"8012.ton","8012"
"8765.ton","8765"
"0057.ton","0057"
"9339.ton","9339"
"6789.ton","6789"
"1230.ton","1230"
"2025.ton","2025"
"1337.ton","1337"
"8288.ton","8288"
"0076.ton","0076"
"6660.ton","6660"
"6066.ton","6066"
"0567.ton","0567"
"0112.ton","0112"
"8804.ton","8804"
"8900.ton","8900"
"1123.ton","1123"
"1990.ton","1990"
"0027.ton","0027"
"9969.ton","9969"
"6226.ton","6226"
"6661.ton","6661"
"7171.ton","7171"
"1414.ton","1414"
"5858.ton","5858"
"8865.ton","8865"
"8827.ton","8827"
"3223.ton","3223"
"7667.ton","7667"
"1551.ton","1551"
"1118.ton","1118"
"0049.ton","0049"
"2299.ton","2299"
"0770.ton","0770"
"8817.ton","8817"
"0032.ton","0032"
"3355.ton","3355"
"1988.ton","1988"
"2003.ton","2003"
"9989.ton","9989"
"5888.ton","5888"
"9889.ton","9889"
"9099.ton","9099"
"2038.ton","2038"
"1922.ton","1922"
"6777.ton","6777"
"5552.ton","5552"
"8668.ton","8668"
"9998.ton","9998"
"1344.ton","1344"
"0068.ton","0068"
"0085.ton","0085"
"8004.ton","8004"
"3399.ton","3399"
"8850.ton","8850"
"0067.ton","0067"
"8783.ton","8783"
"3331.ton","3331"
"0072.ton","0072"
"9527.ton","9527"
"2035.ton","2035"
"2442.ton","2442"
"5559.ton","5559"
"1984.ton","1984"
"1331.ton","1331"
"0059.ton","0059"
"1661.ton","1661"
"1177.ton","1177"
"0688.ton","0688"
"1991.ton","1991"
"0333.ton","0333"
"5666.ton","5666"
"9191.ton","9191"
"2777.ton","2777"
"8918.ton","8918"
"1987.ton","1987"
"9888.ton","9888"
"5885.ton","5885"
"4664.ton","4664"
"8771.ton","8771"
"3666.ton","3666"
"9995.ton","9995"
"8842.ton","8842"
"2226.ton","2226"
"2090.ton","2090"
"0047.ton","0047"
"0717.ton","0717"
"8898.ton","8898"
"0043.ton","0043"
"0912.ton","0912"
"6886.ton","6886"
"7979.ton","7979"
"9666.ton","9666"
"7777.ton","7777"
"4499.ton","4499"
"7755.ton","7755"
"1995.ton","1995"
"8818.ton","8818"
"5005.ton","5005"
"6688.ton","6688"
"4242.ton","4242"
"2223.ton","2223"
"8520.ton","8520"
"2082.ton","2082"
"8686.ton","8686"
"8666.ton","8666"
"3336.ton","3336"
"9992.ton","9992"
"0019.ton","0019"
"7117.ton","7117"
"8070.ton","8070"
"3332.ton","3332"
"8017.ton","8017"
"3232.ton","3232"
"4321.ton","4321"
"8345.ton","8345"
"7771.ton","7771"
"0137.ton","0137"
"8884.ton","8884"
"2888.ton","2888"
"0960.ton","0960"
"0061.ton","0061"
"8833.ton","8833"
"8787.ton","8787"
"7555.ton","7555"
"0045.ton","0045"
"1994.ton","1994"
"6665.ton","6665"
"8321.ton","8321"
"1488.ton","1488"
"8258.ton","8258"
"3434.ton","3434"
