domain,clean_domain
"8765.ton","8765"
"9339.ton","9339"
"6789.ton","6789"
"2025.ton","2025"
"1337.ton","1337"
"8288.ton","8288"
"6660.ton","6660"
"6066.ton","6066"
"1990.ton","1990"
"0027.ton","0027"
"6226.ton","6226"
"6661.ton","6661"
"7171.ton","7171"
"1414.ton","1414"
"5858.ton","5858"
"3223.ton","3223"
"7667.ton","7667"
"1551.ton","1551"
"1118.ton","1118"
"0770.ton","0770"
"0032.ton","0032"
"1988.ton","1988"
"2003.ton","2003"
"9989.ton","9989"
"5888.ton","5888"
"9889.ton","9889"
"2038.ton","2038"
"1922.ton","1922"
"6777.ton","6777"
"8668.ton","8668"
"9998.ton","9998"
"1344.ton","1344"
"0068.ton","0068"
"0085.ton","0085"
"8004.ton","8004"
"3399.ton","3399"
"3331.ton","3331"
"9527.ton","9527"
"2035.ton","2035"
"2442.ton","2442"
"5559.ton","5559"
"1984.ton","1984"
"1331.ton","1331"
"1661.ton","1661"
"1177.ton","1177"
"1991.ton","1991"
"0333.ton","0333"
"5666.ton","5666"
"9191.ton","9191"
"2777.ton","2777"
"8918.ton","8918"
"1987.ton","1987"
"9888.ton","9888"
"5885.ton","5885"
"3666.ton","3666"
"9995.ton","9995"
"2226.ton","2226"
"2090.ton","2090"
"8898.ton","8898"
"0912.ton","0912"
"6886.ton","6886"
"7979.ton","7979"
"9666.ton","9666"
"7777.ton","7777"
"1995.ton","1995"
"8818.ton","8818"
"5005.ton","5005"
"6688.ton","6688"
"4242.ton","4242"
"2223.ton","2223"
"8520.ton","8520"
"2082.ton","2082"
"8686.ton","8686"
"8666.ton","8666"
"9992.ton","9992"
"0019.ton","0019"
"7117.ton","7117"
"3232.ton","3232"
"4321.ton","4321"
"7771.ton","7771"
"0137.ton","0137"
"8884.ton","8884"
"2888.ton","2888"
"0061.ton","0061"
"8833.ton","8833"
"8787.ton","8787"
"7555.ton","7555"
"1994.ton","1994"
"6665.ton","6665"
"1488.ton","1488"
"8258.ton","8258"
"3434.ton","3434"
"2121.ton","2121"
"8188.ton","8188"
"1890.ton","1890"
"5000.ton","5000"
"1322.ton","1322"
"3883.ton","3883"
"1110.ton","1110"
"0400.ton","0400"
"0051.ton","0051"
"7772.ton","7772"
"2007.ton","2007"
"0420.ton","0420"
"7775.ton","7775"
"1996.ton","1996"
"0060.ton","0060"
"4989.ton","4989"
"8588.ton","8588"
"0016.ton","0016"
"2666.ton","2666"
"3663.ton","3663"
"6969.ton","6969"
"0440.ton","0440"
"8688.ton","8688"
"3335.ton","3335"
"2028.ton","2028"
"2062.ton","2062"
"3999.ton","3999"
"8819.ton","8819"
"9898.ton","9898"
"2034.ton","2034"
"8989.ton","8989"
"0010.ton","0010"
"6677.ton","6677"
"9990.ton","9990"
"1776.ton","1776"
"0777.ton","0777"
"0888.ton","0888"
"5500.ton","5500"
"1399.ton","1399"
"0033.ton","0033"
"1020.ton","1020"
"5777.ton","5777"
"0300.ton","0300"
"8838.ton","8838"
"0007.ton","0007"
"2233.ton","2233"
"8828.ton","8828"
"9779.ton","9779"
"9996.ton","9996"
"2046.ton","2046"
"1311.ton","1311"
"1945.ton","1945"
"7766.ton","7766"
"0044.ton","0044"
"1116.ton","1116"
"0001.ton","0001"
"0660.ton","0660"
"0606.ton","0606"
"5551.ton","5551"
"0030.ton","0030"
"8448.ton","8448"
"1666.ton","1666"
"5335.ton","5335"
"5557.ton","5557"
"3344.ton","3344"
"0080.ton","0080"
"9547.ton","9547"
"1771.ton","1771"
"2662.ton","2662"
"4444.ton","4444"
"0880.ton","0880"
"7000.ton","7000"
"9876.ton","9876"
"3838.ton","3838"
"2102.ton","2102"
"8998.ton","8998"
"7557.ton","7557"
"2211.ton","2211"
"8899.ton","8899"
"0038.ton","0038"
"0591.ton","0591"
"2112.ton","2112"
"7888.ton","7888"
"1001.ton","1001"
"3388.ton","3388"
"1616.ton","1616"
"3338.ton","3338"
"0444.ton","0444"
"2066.ton","2066"
"5050.ton","5050"
"1111.ton","1111"
"2828.ton","2828"
"4004.ton","4004"
"3773.ton","3773"
"8887.ton","8887"
"9966.ton","9966"
"5995.ton","5995"
"4488.ton","4488"
"2042.ton","2042"
"2086.ton","2086"
"2027.ton","2027"
"0078.ton","0078"
"7070.ton","7070"
"2078.ton","2078"
"0700.ton","0700"
"9977.ton","9977"
"7711.ton","7711"
"8858.ton","8858"
"2345.ton","2345"
"5151.ton","5151"
"2332.ton","2332"
"7890.ton","7890"
"0690.ton","0690"
"0800.ton","0800"
"7666.ton","7666"
"7887.ton","7887"
"9777.ton","9777"
"6060.ton","6060"
"6776.ton","6776"
"4399.ton","4399"
"1010.ton","1010"
"2049.ton","2049"
"9559.ton","9559"
"9595.ton","9595"
"4440.ton","4440"
"3888.ton","3888"
"3330.ton","3330"
"2137.ton","2137"
"7770.ton","7770"
"9993.ton","9993"
