domain,clean_domain,numeric_value
"000000.ton","000000",0
"000001.ton","000001",1
"000002.ton","000002",2
"000003.ton","000003",3
"000005.ton","000005",5
"000006.ton","000006",6
"000007.ton","000007",7
"000008.ton","000008",8
"000009.ton","000009",9
"000011.ton","000011",11
"000077.ton","000077",77
"000088.ton","000088",88
"000099.ton","000099",99
"000100.ton","000100",100
"000111.ton","000111",111
"000123.ton","000123",123
"000333.ton","000333",333
"000520.ton","000520",520
"000555.ton","000555",555
"000777.ton","000777",777
"000888.ton","000888",888
"000999.ton","000999",999
"001001.ton","001001",1001
"005005.ton","005005",5005
"007007.ton","007007",7007
"007777.ton","007777",7777
"008008.ton","008008",8008
"008888.ton","008888",8888
"009999.ton","009999",9999
"010101.ton","010101",10101
"010203.ton","010203",10203
"012345.ton","012345",12345
"055555.ton","055555",55555
"070707.ton","070707",70707
"077770.ton","077770",77770
"077777.ton","077777",77777
"080808.ton","080808",80808
"088880.ton","088880",88880
"088888.ton","088888",88888
"090909.ton","090909",90909
"099990.ton","099990",99990
"099999.ton","099999",99999
"100000.ton","100000",100000
"110120.ton","110120",110120
"111000.ton","111000",111000
"111111.ton","111111",111111
"111999.ton","111999",111999
"118118.ton","118118",118118
"123123.ton","123123",123123
"123456.ton","123456",123456
"128128.ton","128128",128128
"168168.ton","168168",168168
"168888.ton","168888",168888
"188188.ton","188188",188188
"188888.ton","188888",188888
"222222.ton","222222",222222
"223322.ton","223322",223322
"234567.ton","234567",234567
"282828.ton","282828",282828
"288888.ton","288888",288888
"311969.ton","311969",311969
"312603.ton","312603",312603
"333000.ton","333000",333000
"333333.ton","333333",333333
"333555.ton","333555",333555
"334854.ton","334854",334854
"336699.ton","336699",336699
"342238.ton","342238",342238
"345678.ton","345678",345678
"360360.ton","360360",360360
"365365.ton","365365",365365
"369369.ton","369369",369369
"388888.ton","388888",388888
"390157.ton","390157",390157
"444444.ton","444444",444444
"456789.ton","456789",456789
"518168.ton","518168",518168
"518518.ton","518518",518518
"518888.ton","518888",518888
"520168.ton","520168",520168
"520888.ton","520888",520888
"555000.ton","555000",555000
"555550.ton","555550",555550
"555555.ton","555555",555555
"556789.ton","556789",556789
"588888.ton","588888",588888
"615422.ton","615422",615422
"666666.ton","666666",666666
"666888.ton","666888",666888
"666999.ton","666999",666999
"668866.ton","668866",668866
"668888.ton","668888",668888
"686868.ton","686868",686868
"688688.ton","688688",688688
"688886.ton","688886",688886
"688888.ton","688888",688888
"696969.ton","696969",696969
"700000.ton","700000",700000
"777000.ton","777000",777000
"777777.ton","777777",777777
"777888.ton","777888",777888
"778778.ton","778778",778778
"778877.ton","778877",778877
"778899.ton","778899",778899
"788887.ton","788887",788887
"788888.ton","788888",788888
"800000.ton","800000",800000
"808080.ton","808080",808080
"808808.ton","808808",808808
"818181.ton","818181",818181
"877778.ton","877778",877778
"880000.ton","880000",880000
"880088.ton","880088",880088
"880818.ton","880818",880818
"885921.ton","885921",885921
"886688.ton","886688",886688
"887788.ton","887788",887788
"888000.ton","888000",888000
"888168.ton","888168",888168
"888520.ton","888520",888520
"888666.ton","888666",888666
"888777.ton","888777",888777
"888800.ton","888800",888800
"888880.ton","888880",888880
"888888.ton","888888",888888
"888889.ton","888889",888889
"888999.ton","888999",888999
"900000.ton","900000",900000
"909090.ton","909090",909090
"911911.ton","911911",911911
"913780.ton","913780",913780
"922260.ton","922260",922260
"938464.ton","938464",938464
"960054.ton","960054",960054
"987396.ton","987396",987396
"988888.ton","988888",988888
"998877.ton","998877",998877
"999000.ton","999000",999000
"999666.ton","999666",999666
"999888.ton","999888",999888
"999999.ton","999999",999999
