domain,clean_domain
"0000.ton","0000"
"0001.ton","0001"
"0002.ton","0002"
"0003.ton","0003"
"0004.ton","0004"
"0005.ton","0005"
"0006.ton","0006"
"0007.ton","0007"
"0008.ton","0008"
"0009.ton","0009"
"0010.ton","0010"
"0011.ton","0011"
"0012.ton","0012"
"0013.ton","0013"
"0014.ton","0014"
"0015.ton","0015"
"0016.ton","0016"
"0017.ton","0017"
"0018.ton","0018"
"0019.ton","0019"
"0020.ton","0020"
"0021.ton","0021"
"0022.ton","0022"
"0023.ton","0023"
"0024.ton","0024"
"0025.ton","0025"
"0026.ton","0026"
"0027.ton","0027"
"0028.ton","0028"
"0029.ton","0029"
"0030.ton","0030"
"0031.ton","0031"
"0032.ton","0032"
"0033.ton","0033"
"0034.ton","0034"
"0035.ton","0035"
"0036.ton","0036"
"0037.ton","0037"
"0038.ton","0038"
"0039.ton","0039"
"0040.ton","0040"
"0041.ton","0041"
"0042.ton","0042"
"0043.ton","0043"
"0044.ton","0044"
"0045.ton","0045"
"0046.ton","0046"
"0047.ton","0047"
"0048.ton","0048"
"0049.ton","0049"
"0050.ton","0050"
"0051.ton","0051"
"0052.ton","0052"
"0053.ton","0053"
"0054.ton","0054"
"0055.ton","0055"
"0056.ton","0056"
"0057.ton","0057"
"0058.ton","0058"
"0059.ton","0059"
"0060.ton","0060"
"0061.ton","0061"
"0062.ton","0062"
"0063.ton","0063"
"0064.ton","0064"
"0065.ton","0065"
"0066.ton","0066"
"0067.ton","0067"
"0068.ton","0068"
"0069.ton","0069"
"0070.ton","0070"
"0071.ton","0071"
"0072.ton","0072"
"0073.ton","0073"
"0074.ton","0074"
"0075.ton","0075"
"0076.ton","0076"
"0077.ton","0077"
"0078.ton","0078"
"0079.ton","0079"
"0080.ton","0080"
"0081.ton","0081"
"0082.ton","0082"
"0083.ton","0083"
"0084.ton","0084"
"0085.ton","0085"
"0086.ton","0086"
"0087.ton","0087"
"0088.ton","0088"
"0089.ton","0089"
"0090.ton","0090"
"0091.ton","0091"
"0092.ton","0092"
"0093.ton","0093"
"0094.ton","0094"
"0095.ton","0095"
"0096.ton","0096"
"0097.ton","0097"
"0098.ton","0098"
"0099.ton","0099"
"0100.ton","0100"
"0101.ton","0101"
"0102.ton","0102"
"0103.ton","0103"
"0104.ton","0104"
"0105.ton","0105"
"0106.ton","0106"
"0107.ton","0107"
"0108.ton","0108"
"0109.ton","0109"
"0110.ton","0110"
"0111.ton","0111"
