domain,clean_domain,tier
"1230.ton","1230",0
"1337.ton","1337",0
"0567.ton","0567",0
"1123.ton","1123",0
"2038.ton","2038",0
"1922.ton","1922",0
"1344.ton","1344",0
"8004.ton","8004",0
"9527.ton","9527",0
"2035.ton","2035",0
"0688.ton","0688",0
"8918.ton","8918",0
"2090.ton","2090",0
"0717.ton","0717",0
"0912.ton","0912",0
"8520.ton","8520",0
"2082.ton","2082",0
"0137.ton","0137",0
"0960.ton","0960",0
"1488.ton","1488",0
"8258.ton","8258",0
"1890.ton","1890",0
"1322.ton","1322",0
"0360.ton","0360",0
"7899.ton","7899",0
"0420.ton","0420",0
"9870.ton","9870",0
"4989.ton","4989",0
"0876.ton","0876",0
"2062.ton","2062",0
"8819.ton","8819",0
"0102.ton","0102",0
"2034.ton","2034",0
"0789.ton","0789",0
"0512.ton","0512",0
"1776.ton","1776",0
"0987.ton","0987",0
"5500.ton","5500",0
"1399.ton","1399",0
"0321.ton","0321",0
"1020.ton","1020",0
"0911.ton","0911",0
"2046.ton","2046",0
"1945.ton","1945",0
"1435.ton","1435",0
"8968.ton","8968",0
"0256.ton","0256",0
"9547.ton","9547",0
"0765.ton","0765",0
"0868.ton","0868",0
"2102.ton","2102",0
"9886.ton","9886",0
"0591.ton","0591",0
"0108.ton","0108",0
"2066.ton","2066",0
"5050.ton","5050",0
"0188.ton","0188",0
"2042.ton","2042",0
"2086.ton","2086",0
"7070.ton","7070",0
"2078.ton","2078",0
"7890.ton","7890",0
"2100.ton","2100",0
"0690.ton","0690",0
"6060.ton","6060",0
"4399.ton","4399",0
"1010.ton","1010",0
"2049.ton","2049",0
"2137.ton","2137",0
"0988.ton","0988",0
"8786.ton","8786",0
"5188.ton","5188",0
"0935.ton","0935",0
"8126.ton","8126",0
"1618.ton","1618",0
"2200.ton","2200",0
"1024.ton","1024",0
"4040.ton","4040",0
"1366.ton","1366",0
"2021.ton","2021",0
"3690.ton","3690",0
"9188.ton","9188",0
"1368.ton","1368",0
"2020.ton","2020",0
"8080.ton","8080",0
"9688.ton","9688",0
"0918.ton","0918",0
"0128.ton","0128",0
"0520.ton","0520",0
"7942.ton","7942",0
"0177.ton","0177",0
"9090.ton","9090",0
"8543.ton","8543",0
"2160.ton","2160",0
"0210.ton","0210",0
"9158.ton","9158",0
"1100.ton","1100",0
"0168.ton","0168",0
"0592.ton","0592",0
"1314.ton","1314",0
"2019.ton","2019",0
"2070.ton","2070",0
"2054.ton","2054",0
"0120.ton","0120",0
"1225.ton","1225",0
"6974.ton","6974",0
"0521.ton","0521",0
"0130.ton","0130",0
"6988.ton","6988",0
"8698.ton","8698",0
"0201.ton","0201",0
"2010.ton","2010",0
"6900.ton","6900",0
"2094.ton","2094",0
"6600.ton","6600",0
"0551.ton","0551",0
"1688.ton","1688",0
"5201.ton","5201",0
"1689.ton","1689",0
"1377.ton","1377",0
"0969.ton","0969",0
"3030.ton","3030",0
"9900.ton","9900",0
"4096.ton","4096",0
"8800.ton","8800",0
"2058.ton","2058",0
"3300.ton","3300",0
"5200.ton","5200",0
"1388.ton","1388",0
"5150.ton","5150",0
"3137.ton","3137",0
"4400.ton","4400",0
"0678.ton","0678",0
"1520.ton","1520",0
"1355.ton","1355",0
"0311.ton","0311",0
"7700.ton","7700",0
"2048.ton","2048",0
"3600.ton","3600",0
"6009.ton","6009",0
"8123.ton","8123",0
"2030.ton","2030",0
"1889.ton","1889",0
"2500.ton","2500",0
"0936.ton","0936",0
"2077.ton","2077",0
"2098.ton","2098",0
"5088.ton","5088",0
"2050.ton","2050",0
"0898.ton","0898",0
"1275.ton","1275",0
"1004.ton","1004",0
"0369.ton","0369",0
"0595.ton","0595",0
"0771.ton","0771",0
"1500.ton","1500",0
"6889.ton","6889",0
