domain,clean_domain,tier
"8765.ton","8765",2
"6789.ton","6789",2
"4321.ton","4321",2
"5000.ton","5000",2
"0400.ton","0400",2
"0060.ton","0060",2
"0010.ton","0010",2
"0033.ton","0033",2
"0300.ton","0300",2
"0007.ton","0007",2
"0044.ton","0044",2
"0001.ton","0001",2
"0606.ton","0606",2
"0030.ton","0030",2
"0080.ton","0080",2
"7000.ton","7000",2
"9876.ton","9876",2
"0700.ton","0700",2
"2345.ton","2345",2
"0800.ton","0800",2
"0900.ton","0900",2
"0008.ton","0008",2
"0808.ton","0808",2
"0006.ton","0006",2
"0050.ton","0050",2
"0066.ton","0066",2
"0002.ton","0002",2
"1234.ton","1234",2
"0088.ton","0088",2
"0100.ton","0100",2
"5432.ton","5432",2
"5678.ton","5678",2
"0500.ton","0500",2
"0707.ton","0707",2
"0011.ton","0011",2
"6000.ton","6000",2
"0090.ton","0090",2
"0404.ton","0404",2
"3456.ton","3456",2
"0123.ton","0123",2
"0009.ton","0009",2
"8000.ton","8000",2
"4000.ton","4000",2
"0077.ton","0077",2
"0003.ton","0003",2
"0303.ton","0303",2
"3000.ton","3000",2
"0022.ton","0022",2
"0101.ton","0101",2
"0055.ton","0055",2
"0099.ton","0099",2
"0600.ton","0600",2
"0505.ton","0505",2
"0070.ton","0070",2
"0200.ton","0200",2
"9000.ton","9000",2
"3210.ton","3210",2
"0004.ton","0004",2
"0005.ton","0005",2
"2000.ton","2000",2
"0909.ton","0909",2
"0202.ton","0202",2
"0020.ton","0020",2
"0040.ton","0040",2
"4567.ton","4567",2
"1000.ton","1000",2
