domain,clean_domain,tier
"0057.ton","0057",3
"0076.ton","0076",3
"0027.ton","0027",3
"0049.ton","0049",3
"0032.ton","0032",3
"0068.ton","0068",3
"0085.ton","0085",3
"0067.ton","0067",3
"0072.ton","0072",3
"0059.ton","0059",3
"0047.ton","0047",3
"0043.ton","0043",3
"0019.ton","0019",3
"0061.ton","0061",3
"0045.ton","0045",3
"0051.ton","0051",3
"0041.ton","0041",3
"0016.ton","0016",3
"0071.ton","0071",3
"0079.ton","0079",3
"0083.ton","0083",3
"0073.ton","0073",3
"0037.ton","0037",3
"0094.ton","0094",3
"0084.ton","0084",3
"0038.ton","0038",3
"0064.ton","0064",3
"0078.ton","0078",3
"0063.ton","0063",3
"0036.ton","0036",3
"0093.ton","0093",3
"0098.ton","0098",3
"0074.ton","0074",3
"0042.ton","0042",3
"0039.ton","0039",3
"0028.ton","0028",3
"0053.ton","0053",3
"0048.ton","0048",3
"0024.ton","0024",3
"0014.ton","0014",3
"0025.ton","0025",3
"0062.ton","0062",3
"0058.ton","0058",3
"0069.ton","0069",3
"0089.ton","0089",3
"0013.ton","0013",3
"0054.ton","0054",3
"0052.ton","0052",3
"0034.ton","0034",3
"0056.ton","0056",3
"0023.ton","0023",3
"0017.ton","0017",3
"0082.ton","0082",3
"0029.ton","0029",3
"0021.ton","0021",3
"0035.ton","0035",3
"0095.ton","0095",3
"0026.ton","0026",3
"0097.ton","0097",3
"0075.ton","0075",3
"0081.ton","0081",3
"0087.ton","0087",3
"0012.ton","0012",3
"0086.ton","0086",3
"0031.ton","0031",3
"0096.ton","0096",3
"0091.ton","0091",3
"0092.ton","0092",3
"0015.ton","0015",3
"0046.ton","0046",3
"0018.ton","0018",3
"0065.ton","0065",3
