domain,clean_domain,tier
"9339.ton","9339",4
"6226.ton","6226",4
"3223.ton","3223",4
"7667.ton","7667",4
"1551.ton","1551",4
"0770.ton","0770",4
"9889.ton","9889",4
"8668.ton","8668",4
"2442.ton","2442",4
"1331.ton","1331",4
"1661.ton","1661",4
"1991.ton","1991",4
"5885.ton","5885",4
"6886.ton","6886",4
"5005.ton","5005",4
"7117.ton","7117",4
"3883.ton","3883",4
"3663.ton","3663",4
"0440.ton","0440",4
"5445.ton","5445",4
"9779.ton","9779",4
"0660.ton","0660",4
"8448.ton","8448",4
"5335.ton","5335",4
"1771.ton","1771",4
"2662.ton","2662",4
"0880.ton","0880",4
"8998.ton","8998",4
"7557.ton","7557",4
"2112.ton","2112",4
"1001.ton","1001",4
"4004.ton","4004",4
"3773.ton","3773",4
"5995.ton","5995",4
"2332.ton","2332",4
"7887.ton","7887",4
"6776.ton","6776",4
"9559.ton","9559",4
"5775.ton","5775",4
"3443.ton","3443",4
"2002.ton","2002",4
"2552.ton","2552",4
"0110.ton","0110",4
"4224.ton","4224",4
"7007.ton","7007",4
"4884.ton","4884",4
"5225.ton","5225",4
"9009.ton","9009",4
"6336.ton","6336",4
"8118.ton","8118",4
"0330.ton","0330",4
"0550.ton","0550",4
"6996.ton","6996",4
"7337.ton","7337",4
"3003.ton","3003",4
"6116.ton","6116",4
"3993.ton","3993",4
"4554.ton","4554",4
"3553.ton","3553",4
"9229.ton","9229",4
"8008.ton","8008",4
"2882.ton","2882",4
"0990.ton","0990",4
"7997.ton","7997",4
"1441.ton","1441",4
"9119.ton","9119",4
"1881.ton","1881",4
"6556.ton","6556",4
"6006.ton","6006",4
"5665.ton","5665",4
"8228.ton","8228",4
"0220.ton","0220",4
"5115.ton","5115",4
"7447.ton","7447",4
"8778.ton","8778",4
"7227.ton","7227",4
"9449.ton","9449",4
"3113.ton","3113",4
"2772.ton","2772",4
"2992.ton","2992",4
"4774.ton","4774",4
"9669.ton","9669",4
"8558.ton","8558",4
"8338.ton","8338",4
"1221.ton","1221",4
