domain,clean_domain,tier
"8288.ton","8288",5
"6660.ton","6660",5
"6066.ton","6066",5
"9969.ton","9969",5
"6661.ton","6661",5
"1118.ton","1118",5
"9989.ton","9989",5
"5888.ton","5888",5
"9099.ton","9099",5
"6777.ton","6777",5
"5552.ton","5552",5
"9998.ton","9998",5
"3331.ton","3331",5
"5559.ton","5559",5
"0333.ton","0333",5
"5666.ton","5666",5
"2777.ton","2777",5
"9888.ton","9888",5
"3666.ton","3666",5
"9995.ton","9995",5
"2226.ton","2226",5
"8898.ton","8898",5
"9666.ton","9666",5
"8818.ton","8818",5
"2223.ton","2223",5
"8666.ton","8666",5
"3336.ton","3336",5
"9992.ton","9992",5
"3332.ton","3332",5
"7771.ton","7771",5
"8884.ton","8884",5
"2888.ton","2888",5
"7555.ton","7555",5
"6665.ton","6665",5
"8188.ton","8188",5
"5553.ton","5553",5
"1110.ton","1110",5
"7772.ton","7772",5
"7775.ton","7775",5
"1911.ton","1911",5
"6333.ton","6333",5
"8588.ton","8588",5
"2666.ton","2666",5
"8333.ton","8333",5
"8688.ton","8688",5
"3335.ton","3335",5
"3999.ton","3999",5
"9990.ton","9990",5
"0777.ton","0777",5
"0888.ton","0888",5
"5777.ton","5777",5
"8838.ton","8838",5
"8828.ton","8828",5
"9996.ton","9996",5
"1311.ton","1311",5
"1116.ton","1116",5
"5551.ton","5551",5
"1666.ton","1666",5
"5557.ton","5557",5
"7888.ton","7888",5
"3338.ton","3338",5
"0444.ton","0444",5
"8887.ton","8887",5
"8858.ton","8858",5
"7666.ton","7666",5
"5505.ton","5505",5
"9777.ton","9777",5
"4440.ton","4440",5
"3888.ton","3888",5
"3330.ton","3330",5
"7770.ton","7770",5
"9993.ton","9993",5
"6555.ton","6555",5
"2022.ton","2022",5
"8848.ton","8848",5
"8881.ton","8881",5
"5556.ton","5556",5
"6669.ton","6669",5
"8555.ton","8555",5
"0555.ton","0555",5
"3222.ton","3222",5
"8088.ton","8088",5
"7111.ton","7111",5
"1777.ton","1777",5
"2111.ton","2111",5
"9222.ton","9222",5
"8988.ton","8988",5
"3555.ton","3555",5
"8388.ton","8388",5
"2999.ton","2999",5
"4999.ton","4999",5
"9909.ton","9909",5
"6668.ton","6668",5
"1113.ton","1113",5
"8886.ton","8886",5
"1101.ton","1101",5
"8777.ton","8777",5
"3033.ton","3033",5
"8885.ton","8885",5
"8111.ton","8111",5
"2228.ton","2228",5
"7776.ton","7776",5
"8788.ton","8788",5
"4777.ton","4777",5
"4888.ton","4888",5
"6111.ton","6111",5
"2220.ton","2220",5
"2202.ton","2202",5
"6606.ton","6606",5
"2227.ton","2227",5
"6667.ton","6667",5
"9699.ton","9699",5
"7999.ton","7999",5
"1888.ton","1888",5
"7717.ton","7717",5
"7707.ton","7707",5
"6999.ton","6999",5
"1999.ton","1999",5
"0111.ton","0111",5
"7333.ton","7333",5
"5550.ton","5550",5
"8882.ton","8882",5
"1333.ton","1333",5
"3111.ton","3111",5
"3337.ton","3337",5
"8883.ton","8883",5
"7774.ton","7774",5
"0666.ton","0666",5
"7077.ton","7077",5
"0222.ton","0222",5
"6662.ton","6662",5
"8878.ton","8878",5
"8222.ton","8222",5
"7177.ton","7177",5
"1222.ton","1222",5
"1119.ton","1119",5
"9555.ton","9555",5
"2555.ton","2555",5
"4666.ton","4666",5
"1011.ton","1011",5
"7773.ton","7773",5
"8868.ton","8868",5
"5055.ton","5055",5
"0999.ton","0999",5
"9111.ton","9111",5
"1117.ton","1117",5
"8880.ton","8880",5
"5999.ton","5999",5
"8999.ton","8999",5
"3339.ton","3339",5
"1115.ton","1115",5
"2221.ton","2221",5
"2333.ton","2333",5
"7778.ton","7778",5
"9997.ton","9997",5
"4555.ton","4555",5
"5558.ton","5558",5
"6888.ton","6888",5
"6663.ton","6663",5
"7779.ton","7779",5
"3777.ton","3777",5
"1112.ton","1112",5
"8889.ton","8889",5
"8808.ton","8808",5
"3303.ton","3303",5
"1555.ton","1555",5
"2225.ton","2225",5
"9991.ton","9991",5
