domain,clean_domain,tier
"2424.ton","2424",6
"7171.ton","7171",6
"1414.ton","1414",6
"5858.ton","5858",6
"2299.ton","2299",6
"3355.ton","3355",6
"3399.ton","3399",6
"1177.ton","1177",6
"9191.ton","9191",6
"7979.ton","7979",6
"4499.ton","4499",6
"7755.ton","7755",6
"6688.ton","6688",6
"4242.ton","4242",6
"8686.ton","8686",6
"3232.ton","3232",6
"8833.ton","8833",6
"8787.ton","8787",6
"3434.ton","3434",6
"2121.ton","2121",6
"7373.ton","7373",6
"7733.ton","7733",6
"6969.ton","6969",6
"9898.ton","9898",6
"8989.ton","8989",6
"6677.ton","6677",6
"2233.ton","2233",6
"7766.ton","7766",6
"3344.ton","3344",6
"7676.ton","7676",6
"3838.ton","3838",6
"2211.ton","2211",6
"8899.ton","8899",6
"3388.ton","3388",6
"1616.ton","1616",6
"7722.ton","7722",6
"9933.ton","9933",6
"2828.ton","2828",6
"9966.ton","9966",6
"9911.ton","9911",6
"4488.ton","4488",6
"9977.ton","9977",6
"7711.ton","7711",6
"5151.ton","5151",6
"9797.ton","9797",6
"9595.ton","9595",6
"6565.ton","6565",6
"7878.ton","7878",6
"1212.ton","1212",6
"8877.ton","8877",6
"5577.ton","5577",6
"8844.ton","8844",6
"4545.ton","4545",6
"8866.ton","8866",6
"3377.ton","3377",6
"9922.ton","9922",6
"2525.ton","2525",6
"1199.ton","1199",6
"9988.ton","9988",6
"8811.ton","8811",6
"6868.ton","6868",6
"3366.ton","3366",6
"3322.ton","3322",6
"2244.ton","2244",6
"3737.ton","3737",6
"1313.ton","1313",6
"4466.ton","4466",6
"3311.ton","3311",6
"5588.ton","5588",6
"6655.ton","6655",6
"1717.ton","1717",6
"1133.ton","1133",6
"4949.ton","4949",6
"2255.ton","2255",6
"7744.ton","7744",6
"5599.ton","5599",6
"8282.ton","8282",6
"8181.ton","8181",6
"9696.ton","9696",6
"6633.ton","6633",6
"8855.ton","8855",6
"9955.ton","9955",6
"1122.ton","1122",6
"1919.ton","1919",6
"5566.ton","5566",6
"7575.ton","7575",6
"6767.ton","6767",6
"2323.ton","2323",6
"7788.ton","7788",6
"8822.ton","8822",6
"7799.ton","7799",6
"3535.ton","3535",6
"8585.ton","8585",6
"4848.ton","4848",6
"1818.ton","1818",6
"6699.ton","6699",6
"2288.ton","2288",6
"5252.ton","5252",6
"4455.ton","4455",6
"1515.ton","1515",6
"5533.ton","5533",6
"2277.ton","2277",6
"2626.ton","2626",6
"1188.ton","1188",6
"5511.ton","5511",6
