domain,clean_domain,tier
"2025.ton","2025",7
"1990.ton","1990",7
"1988.ton","1988",7
"2003.ton","2003",7
"1984.ton","1984",7
"1987.ton","1987",7
"1995.ton","1995",7
"1994.ton","1994",7
"2007.ton","2007",7
"1996.ton","1996",7
"2028.ton","2028",7
"2029.ton","2029",7
"2027.ton","2027",7
"2024.ton","2024",7
"2004.ton","2004",7
"1985.ton","1985",7
"1983.ton","1983",7
"2005.ton","2005",7
"2023.ton","2023",7
"2009.ton","2009",7
"2008.ton","2008",7
"1993.ton","1993",7
"2013.ton","2013",7
"1997.ton","1997",7
"2001.ton","2001",7
"1989.ton","1989",7
"1986.ton","1986",7
"1992.ton","1992",7
"1998.ton","1998",7
"2026.ton","2026",7
"2015.ton","2015",7
